D_n,D_w,D_q,D_w_over_D_n,D_q_over_D_n,stress,q_star,zero_mode_growth,max_nonzero_mode_growth,most_unstable_m,most_unstable_n,most_unstable_lambda,positive_modes_count,near_zero_modes_count,nonzero_modes_stable,stability_class
0.01,0.1,0.0005,10.0,0.05,0.1584375,0.21415079173699889,-0.015893894916853914,-0.0033404904693950044,8,8,3.1582734083485944,0,0,True,linearly_spatially_stable
0.01,0.1,0.0005,10.0,0.05,0.16486816,0.19554266055783315,-0.01465247062034078,-0.003224518697762217,5,10,3.0842513753404246,0,0,True,linearly_spatially_stable
0.01,0.1,0.0005,10.0,0.05,0.175,0.16622458001768367,-0.012681581449417077,-0.00301920909721192,6,9,2.886859287318637,0,0,True,linearly_spatially_stable
0.01,0.1,0.001,10.0,0.1,0.11765625,0.3321577847439918,-0.023581704072263975,-0.00534851256921842,7,7,2.4180530782668925,0,0,True,linearly_spatially_stable
0.01,0.1,0.001,10.0,0.1,0.1584375,0.21415079173699889,-0.015893894916853914,-0.004637980639014967,5,8,2.195986979242382,0,0,True,linearly_spatially_stable
0.01,0.1,0.001,10.0,0.1,0.16486816,0.19554266055783315,-0.01465247062034078,-0.004481096867266868,2,9,2.0972909352314884,0,0,True,linearly_spatially_stable
0.01,0.1,0.001,10.0,0.1,0.175,0.16622458001768367,-0.012681581449417077,-0.004203008880936671,4,8,1.9739208802178716,0,0,True,linearly_spatially_stable
0.01,0.1,0.005,10.0,0.5,0.11765625,0.3321577847439918,-0.023581704072263975,-0.010985784685695929,1,6,0.9129384071007656,0,0,True,linearly_spatially_stable
0.01,0.1,0.005,10.0,0.5,0.1584375,0.21415079173699889,-0.015893894916853914,-0.009812271942740114,3,5,0.8389163740925955,0,0,True,linearly_spatially_stable
0.01,0.1,0.005,10.0,0.5,0.16486816,0.19554266055783315,-0.01465247062034078,-0.009523437690920204,3,5,0.8389163740925955,0,0,True,linearly_spatially_stable
0.01,0.1,0.005,10.0,0.5,0.175,0.16622458001768367,-0.012681581449417077,-0.009002449177171546,4,4,0.7895683520871486,0,0,True,linearly_spatially_stable
0.01,0.1,0.01,10.0,1.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.014827190556376166,0,5,0.6168502750680849,0,0,True,linearly_spatially_stable
0.01,0.1,0.01,10.0,1.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.013589936475323139,0,5,0.6168502750680849,0,0,True,linearly_spatially_stable
0.01,0.1,0.01,10.0,1.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.013254753229726142,0,5,0.6168502750680849,0,0,True,linearly_spatially_stable
0.01,0.1,0.01,10.0,1.0,0.175,0.16622458001768367,-0.012681581449417077,-0.012630939350225238,0,5,0.6168502750680849,0,0,True,linearly_spatially_stable
0.01,0.1,0.02,10.0,2.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.020058012372013812,0,4,0.3947841760435743,0,0,True,linearly_spatially_stable
0.01,0.1,0.02,10.0,2.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.0173029745427962,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.1,0.02,10.0,2.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.016060764686650103,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.1,0.02,10.0,2.0,0.175,0.16622458001768367,-0.012681581449417077,-0.014088658071123673,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
