case_label,stress,q0,w0_scale,time,mean_n,mean_w,mean_q,var_n,var_w,var_q,min_n,min_w,min_q,max_q,min_z
extinct_case,0.16486816,0.9,0.02,100.0,5.937893019424347,5.286679518640985e-08,0.7002813940573569,4.332290968560609e-13,1.8933163985866024e-24,3.805041930573495e-12,5.937890031367325,5.286098463564483e-08,0.7002761789474291,0.700290252427109,0.7287718344475719
extinct_case,0.16486816,0.9,0.02,105.0,5.942427560561199,3.210881385080244e-08,0.6867740166457108,4.1829723987575043e-13,7.523866244576937e-25,3.7655950931281894e-12,5.942424647322689,3.210519491606045e-08,0.6867688153551054,0.6867827605254192,0.7242373402602548
extinct_case,0.16486816,0.9,0.02,110.0,5.9469845673034385,1.97589417617185e-08,0.6730294703028035,4.0313128782337583e-13,3.057706228404731e-25,3.720755727970768e-12,5.9469817310940725,1.9756660880388526e-08,0.6730242881272921,0.6730380900064439,0.7196803736735263
extinct_case,0.16486816,0.9,0.02,115.0,5.951554668915852,1.2320540817122166e-08,0.6590707404076955,3.877392009940786e-13,1.2712521612190365e-25,3.670017549873192e-12,5.951551911635312,1.2319087509161284e-08,0.6590655827935886,0.659079226606354,0.7151103088567569
extinct_case,0.16486816,0.9,0.02,120.0,5.956128551949037,7.784655358720088e-09,0.6449219125837615,3.721495234140911e-13,5.408302504511823e-26,3.6130642127908998e-12,5.956125875177668,7.783719005905494e-09,0.6449167851015011,0.6449302563739442,0.7105364611972321
extinct_case,0.16486816,0.9,0.02,125.0,5.960697039366562,4.984226735278356e-09,0.6306079864473338,3.564065567079706e-13,2.354860078443277e-26,3.5497505537870467e-12,5.960694444360984,4.983616606609108e-09,0.6306028917792171,0.6306161794143142,0.7059680077411471
extinct_case,0.16486816,0.9,0.02,130.0,5.96525116461401,3.2336930514794398e-09,0.6161546805400098,3.405661430289186e-13,1.0495346446243791e-26,3.480085322575147e-12,5.96524865230671,3.233290929709842e-09,0.6161496180865452,0.6161627148151888,0.7014139149112242
extinct_case,0.16486816,0.9,0.02,135.0,5.969782239696803,2.125812948069866e-09,0.6015882318443467,3.246919665036241e-13,4.788300448765441e-27,3.4042145452058452e-12,5.9697798103641855,2.125544855491229e-09,0.6015832082236653,0.601596100244304,0.6968828731632136
extinct_case,0.16486816,0.9,0.02,140.0,5.9742819164469445,1.415951483993708e-09,0.5869351932925349,3.0885232241637474e-13,2.236241009305414e-27,3.3224050522717903e-12,5.974279564058113,1.4157706734011692e-09,0.5869302150216379,0.5869429110987325,0.6923832307697526
extinct_case,0.16486816,0.9,0.02,145.0,5.978742240332549,9.554988670190962e-10,0.5722222325908575,2.931173243142042e-13,1.0690151132177064e-27,3.2350279738510952e-12,5.978739965970292,9.553755051646102e-10,0.5722173060353762,0.5722297907804385,0.6879229422635956
extinct_case,0.16486816,0.9,0.02,150.0,5.983155696366443,6.53163548224914e-10,0.55747593550766,2.775565302874362e-13,5.230338476449405e-28,3.142542193352669e-12,5.983153500696893,6.530784053450983e-10,0.5574710668339916,0.5574833260549418,0.6835095225697799
extinct_case,0.16486816,0.9,0.02,155.0,5.987515246880431,4.522366532690681e-10,0.5427226165208767,2.62236971791987e-13,2.6187130680588376e-28,3.0454778789862444e-12,5.987513130180853,4.5217720952130584e-10,0.5427178116516584,0.5427298323924011,0.6791500092561854
extinct_case,0.16486816,0.9,0.02,160.0,5.991814361135721,3.1709904312104906e-10,0.527988139407013,2.472215678243267e-13,1.3414359580784392e-28,2.944420290910563e-12,5.991812323323572,3.170570650071535e-10,0.5279834039807038,0.5279951745495848,0.6748509329386966
extinct_case,0.16486816,0.9,0.02,165.0,5.996047036927486,2.2513062862004828e-10,0.5132977499923776,2.32567902217336e-13,7.028609292577827e-29,2.839994100850284e-12,5.9960450775903364,2.2510064690087949e-10,0.5132930893275228,0.5133045993142524,0.670618295686715
extinct_case,0.16486816,0.9,0.02,170.0,6.000207814506105,1.6180886816928972e-10,0.4986759228953185,2.1832733822024244e-13,3.7658507702043183e-29,2.7328484713929266e-12,6.000205932931984,1.617872133074222e-10,0.4986713419599022,0.49868258224089834,0.6664575571086803
extinct_case,0.16486816,0.9,0.02,175.0,6.004291783275031,1.177087889546481e-10,0.4841462236809124,2.0454443925557977e-13,2.0625888080713235e-29,2.623643128052476e-12,6.004289978482818,1.1769297431483531e-10,0.4841417270670296,0.4841526897994363,0.6623736276588714
extinct_case,0.16486816,0.9,0.02,180.0,6.00829458183374,8.664806644592579e-11,0.46973118744152303,1.912566616199133e-13,1.1544255215582941e-29,2.513035627483004e-12,6.008292852603198,8.663639028411875e-11,0.46972677934545926,0.4697374579503748,0.6583708685977873
extinct_case,0.16486816,0.9,0.02,185.0,6.0122123920134865,6.452846810126838e-11,0.4554522144208536,1.7849428231729874e-13,6.600220905857636e-30,2.4016699840668775e-12,6.012210736914628,6.451975439848934e-11,0.45544789862852486,0.4554582877641902,0.6544530979587802
extinct_case,0.16486816,0.9,0.02,190.0,6.016041927605013,4.860495971116148e-11,0.4413294829264529,1.662805243821475e-13,3.853142024282657e-30,2.2901667696527264e-12,6.016040345026469,4.859838788673741e-11,0.4413252628040467,0.44133535832991083,0.6506236018221219
extinct_case,0.16486816,0.9,0.02,195.0,6.01978041850297,3.7020021446813626e-11,0.42738187943476974,1.546318425292378e-13,2.295888317449855e-30,2.1791147521146136e-12,6.019778906679128,3.701501346159794e-11,0.4273777579243337,0.4273875568570333,0.646885150171831
extinct_case,0.16486816,0.9,0.02,200.0,6.023425590994878,2.850402291528817e-11,0.4136269454901443,1.4355833318496316e-13,1.3956377685403994e-30,2.0690640903922164e-12,6.023424148031591,2.8500167753605002e-11,0.41362292510979365,0.4136324255721645,0.6432400166075946
extinct_case,0.16486816,0.9,0.02,205.0,6.02697564490621,2.2180571064050057e-11,0.40008084073869754,1.330642360830832e-13,8.651292275602345e-31,1.9605210592228756e-12,6.026974268804902,2.2177573771016774e-11,0.40007692358705493,0.4000861247513261,0.6396900012002718
extinct_case,0.16486816,0.9,0.02,210.0,6.03042922828123,1.7438844228051347e-11,0.3867583212219752,1.2314849712960106e-13,5.466004116339103e-31,1.853944238810408e-12,6.030427916961299,1.743649121647273e-11,0.38675450898641694,0.386763411012741,0.636236455811382
extinct_case,0.16486816,0.9,0.02,215.0,6.0337854102353,1.3849071528463209e-11,0.3736727318836446,1.1380536657148124e-13,3.518272123111457e-31,1.7497420726891645e-12,6.033784161554759,1.3847206756984187e-11,0.3736690258519023,0.3736776298233473,0.6328803112409145
extinct_case,0.16486816,0.9,0.02,220.0,6.037043652561709,1.1106058074242824e-11,0.36083601211422006,1.0502501007819228e-13,2.305927739093297e-31,1.6482716726784006e-12,6.037042464336008,1.1104566550691047e-11,0.36083241171070096,0.3608407210439556,0.6296221052193288
extinct_case,0.16486816,0.9,0.02,225.0,6.040203780617773,8.991106310249312e-12,0.34825871307115835,9.67941140926577e-14,1.5381635950698345e-31,1.5498387330468415e-12,6.040202650636829,8.98990257176787e-12,0.34825521759065775,0.3482632362503171,0.6264620124530828
extinct_case,0.16486816,0.9,0.02,230.0,6.043265953953801,7.34611178333646e-12,0.3359500254612703,8.90964711320355e-14,1.043715455237829e-31,1.454698405657611e-12,6.043264879997262,7.345131785482943e-12,0.33594663540746034,0.3359543665169815,0.6233998736983448
extinct_case,0.16486816,0.9,0.02,235.0,6.046230637086722,6.055786586537104e-12,0.32391781645515555,8.191353361237527e-14,7.200553759104563e-32,1.363056984045118e-12,6.0462296169375085,6.054981946275672e-12,0.32391453197661746,0.3239219793335743,0.6204352243807723
extinct_case,0.16486816,0.9,0.02,240.0,6.049098570759503,5.0353556590410295e-12,0.3121686744148498,7.522492829751682e-14,5.048186196165961e-32,1.2750742460117791e-12,6.049097602215709,5.034689536005144e-12,0.3121654953284245,0.3121726633346122,0.6175673237090313
extinct_case,0.16486816,0.9,0.02,245.0,6.051870743969608,4.2219694745645635e-12,0.30070796015150336,6.900892599300673e-14,3.594783685950294e-32,1.190866310253116e-12,6.051869824854854,4.221413601428243e-12,0.3007048859663327,0.3007117795596061,0.6147951826457837
extinct_case,0.16486816,0.9,0.02,250.0,6.054548366995478,3.568661312203966e-12,0.2895398634851797,6.324286376334109e-14,2.598733425260408e-32,1.1105088717368751e-12,6.054547495167793,3.5681934764316032e-12,0.2895368934270965,0.2895435180154741,0.6121175908806173
extinct_case,0.16486816,0.9,0.02,255.0,6.057132845600213,3.0400609450767062e-12,0.2786674639494538,5.790351837429301e-14,1.9062852959028913e-32,1.0340406928389867e-12,6.057132018959573,3.0396641259762888e-12,0.278664596985419,0.27867095838388867,0.6095331426257482
extinct_case,0.16486816,0.9,0.02,260.0,6.059625756546762,2.6093303579943718e-12,0.2680927945654099,5.296743174330438e-14,1.4182061837009217e-32,9.614672402615033e-13,6.059624973041377,2.6089913343269947e-12,0.2680900294277276,0.2680961337980973,0.607040261100235
extinct_case,0.16486816,0.9,0.02,265.0,6.062028824519027,2.2559563125638184e-12,0.2578169076992657,4.841118990875153e-14,1.0695651124419178e-32,8.927643725092731e-13,6.062028082150487,2.255664635558446e-12,0.2578142429093477,0.25782009670340295,0.6046372216082634
extinct_case,0.16486816,0.9,0.02,270.0,6.0643439005085344,1.964148279940858e-12,0.24783994211200464,4.421165817427399e-14,8.173082354316325e-33,8.278819970803044e-13,6.0643431973359325,1.9638956371501846e-12,0.24783737600348865,0.24784298590964077,0.6023221731518877
